Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-25,29.412328612129645,30.3927395658673,25.98089027404785,25.98089027404785,1200,0.0,0
2020-11-27,25.83383063724032,25.83383063724032,21.863164901733395,21.8631649017334,5200,0.0,0
2020-11-30,22.831812938461717,23.03965997908576,18.814088821411133,18.814088821411133,65100,0.0,0
2020-12-01,21.274919020021294,21.676887372336328,16.412079585451195,18.049365997314453,8782600,0.0,0
2020-12-02,17.7748497863456,18.235644131856418,16.92189330292793,17.892499923706055,2105400,0.0,0
2020-12-03,18.029757140862444,18.765065368401505,17.67681046323385,18.382705688476562,1555600,0.0,0
2020-12-04,18.382704885382402,18.941538814700355,18.29446775233373,18.6278076171875,1390600,0.0,0
2020-12-07,18.618004660321578,18.833694407065597,17.40229524506463,17.647397994995117,1481500,0.0,0
2020-12-08,17.402295012045187,17.676810761486333,16.255214082930674,16.892480850219727,3246400,0.0,0
2020-12-09,17.108172909089625,17.353275662113916,16.61796740304105,16.95130729675293,1793400,0.0,0
2020-12-10,16.76502717917204,17.35327410773667,16.755222845530998,17.27484130859375,728800,0.0,0
2020-12-11,17.127780084606005,17.441513186160762,16.980718803556186,17.372882843017578,844500,0.0,0
2020-12-14,17.725831931275234,18.19642879237445,17.598379315972164,17.627790451049805,1038500,0.0,0
2020-12-15,17.657202892438715,17.9121099848931,17.09836890397495,17.63759422302246,964100,0.0,0
2020-12-16,17.64739631053412,18.039560298993354,17.54935484592296,17.676809310913086,542400,0.0,0
2020-12-17,17.529747321737617,18.451334157182522,17.186604978207807,18.382705688476562,670900,0.0,0
2020-12-18,18.441530861006804,18.608200810095568,17.176801610850816,17.804264068603516,1919800,0.0,0
2020-12-21,17.480727493441243,17.8336760404943,17.03954180962492,17.657201766967773,674300,0.0,0
2020-12-22,17.706221829172705,17.706221829172705,16.765028183097,16.7944393157959,768000,0.0,0
2020-12-23,16.872872707024808,17.108172996720707,16.196390451602344,16.421884536743164,798700,0.0,0
2020-12-24,16.43168718553392,16.725809712500414,16.215997457090854,16.451295852661133,356600,0.0,0
2020-12-28,16.647377249906505,16.80424285011877,15.882657916368085,16.049327850341797,1187400,0.0,0
2020-12-29,16.0787383590342,16.666985272044617,16.059129692270595,16.588552474975586,474900,0.0,0
2020-12-30,16.745418797151284,17.941519471952994,16.67679033048031,17.765047073364258,413800,0.0,0
2020-12-31,17.716027296999666,19.000365243299562,17.568966014138493,18.588592529296875,541700,0.0,0
2021-01-04,18.755261445762873,18.872911587543808,17.637593513779038,18.441530227661133,555600,0.0,0
2021-01-05,18.284663558380817,19.59841436049367,18.16701529340724,19.186641693115234,528400,0.0,0
